user_id,transaction_id,transaction_date,amount,category,payment_method,loan_status,risk_score,month
1,710941,2023-06-16,4919.08,Healthcare,Mobile Wallet,Current,0.6,2023-06
1,734755,2023-08-26,3870.17,Shopping,Bank Transfer,Current,0.6,2023-08
1,605429,2023-10-17,4333.49,Groceries,Crypto,Current,0.6,2023-10
1,389065,2023-05-20,1167.09,Healthcare,Debit Card,Current,0.6,2023-05
1,192133,2023-03-24,914.39,Healthcare,Bank Transfer,Current,0.6,2023-03
1,106505,2023-10-15,3910.46,Entertainment,Mobile Wallet,Current,0.6,2023-10
1,936684,2023-06-28,3196.58,Loan Payment,Crypto,Current,0.6,2023-06
1,438749,2023-08-29,3367.29,Shopping,Debit Card,Current,0.6,2023-08
1,936427,2023-05-06,4212.28,Bills,Mobile Wallet,Current,0.6,2023-05
1,781246,2023-11-06,1023.14,Shopping,Credit Card,Current,0.6,2023-11
1,360068,2023-01-22,4894.79,Loan Payment,Debit Card,Current,0.6,2023-01
2,113959,2023-03-18,1906.77,Healthcare,Crypto,Fully Paid,0.2,2023-03
2,715666,2023-07-23,2731.42,Bills,Crypto,Fully Paid,0.2,2023-07
2,513166,2023-09-16,1896.77,Loan Payment,Debit Card,Fully Paid,0.2,2023-09
2,592951,2023-07-30,3013.37,Groceries,Crypto,Fully Paid,0.2,2023-07
2,740164,2023-03-02,113.19,Bills,Crypto,Fully Paid,0.2,2023-03
2,732229,2023-05-02,4744.18,Groceries,Crypto,Fully Paid,0.2,2023-05
2,661972,2023-03-12,1702.74,Entertainment,Credit Card,Fully Paid,0.2,2023-03
2,808382,2023-12-16,2351.67,Bills,Mobile Wallet,Fully Paid,0.2,2023-12
2,217730,2023-08-09,2549.99,Groceries,Bank Transfer,Fully Paid,0.2,2023-08
2,796344,2023-05-22,3272.65,Groceries,Crypto,Fully Paid,0.2,2023-05
3,635536,2023-05-14,3056.53,Entertainment,Credit Card,Current,0.6,2023-05
3,782010,2023-09-30,4099.45,Groceries,Debit Card,Current,0.6,2023-09
3,161548,2023-11-18,4892.98,Entertainment,Credit Card,Current,0.6,2023-11
3,262668,2023-01-27,2845.16,Entertainment,Crypto,Current,0.6,2023-01
3,233657,2023-09-06,2170.67,Entertainment,Debit Card,Current,0.6,2023-09
3,705981,2023-09-10,195.56,Bills,Credit Card,Current,0.6,2023-09
3,862960,2023-09-30,1231.29,Bills,Bank Transfer,Current,0.6,2023-09
3,593792,2023-07-01,2135.65,Loan Payment,Debit Card,Current,0.6,2023-07
3,402528,2023-03-16,383.42,Shopping,Credit Card,Current,0.6,2023-03
3,400046,2023-05-03,1897.48,Loan Payment,Crypto,Current,0.6,2023-05
3,516459,2023-02-26,2814.33,Shopping,Crypto,Current,0.6,2023-02
3,944865,2023-03-30,3843.03,Shopping,Mobile Wallet,Current,0.6,2023-03
3,520990,2023-11-06,2027.29,Loan Payment,Crypto,Current,0.6,2023-11
3,893732,2023-04-03,3616.04,Entertainment,Mobile Wallet,Current,0.6,2023-04
