user_id,total_spent,avg_transaction_value,transaction_count,unique_categories,most_used_payment_method,avg_risk_score,spending_trend,5D_vector
1,35808.76,3255.3418181818183,11,6,Debit Card,0.6,0.538462674669327,"[0.6, np.float64(0.5738791623171935), 0.538462674669327, 35808.76, 11]"
2,24282.75,2428.275,10,5,Crypto,0.2,4.530480943310346,"[0.2, np.float64(0.5738791623171935), 4.530480943310346, 24282.75, 10]"
3,107195.7,2614.529268292683,41,6,Credit Card,0.6,0.7292769965455533,"[0.6, np.float64(0.5738791623171935), 0.7292769965455533, 107195.7, 41]"
4,58654.44,2666.110909090909,22,6,Mobile Wallet,0.2,0.6225001732439962,"[0.2, np.float64(0.5738791623171935), 0.6225001732439962, 58654.44, 22]"
5,38103.9,2931.0692307692307,13,5,Mobile Wallet,1.0,0.9964429760628444,"[1.0, np.float64(0.5738791623171935), 0.9964429760628444, 38103.9, 13]"
6,54115.91,2164.6364000000003,25,6,Crypto,0.4,1.150568632076911,"[0.4, np.float64(0.5738791623171935), 1.150568632076911, 54115.91, 25]"
7,118462.92,2520.487659574468,47,6,Credit Card,0.9000000000000001,0.8463411165813525,"[0.9000000000000001, np.float64(0.5738791623171935), 0.8463411165813525, 118462.92, 47]"
8,23928.78,2658.753333333333,9,6,Credit Card,0.4,0.8662974113101889,"[0.4, np.float64(0.5738791623171935), 0.8662974113101889, 23928.78, 9]"
9,80937.53,2610.888064516129,31,6,Mobile Wallet,0.2,1.2302740264348817,"[0.2, np.float64(0.5738791623171935), 1.2302740264348817, 80937.53, 31]"
10,98055.65,2391.601219512195,41,6,Crypto,0.4000000000000001,3.4479330655313705,"[0.4000000000000001, np.float64(0.5738791623171935), 3.4479330655313705, 98055.65, 41]"
11,17313.84,2885.64,6,3,Bank Transfer,0.20000000000000004,0.6644694249376606,"[0.20000000000000004, np.float64(0.5738791623171935), 0.6644694249376606, 17313.84, 6]"
12,31735.45,2115.6966666666667,15,6,Debit Card,0.4,1.6266108094530558,"[0.4, np.float64(0.5738791623171935), 1.6266108094530558, 31735.45, 15]"
13,52931.43,2405.974090909091,22,6,Bank Transfer,0.4,3.083683575414334,"[0.4, np.float64(0.5738791623171935), 3.083683575414334, 52931.43, 22]"
14,108605.8,2858.047368421053,38,6,Debit Card,0.4,0.9880646295716989,"[0.4, np.float64(0.5738791623171935), 0.9880646295716989, 108605.8, 38]"
15,117276.48,2495.244255319149,47,6,Credit Card,0.2,2.8670710289936703,"[0.2, np.float64(0.5738791623171935), 2.8670710289936703, 117276.48, 47]"
16,93848.34,2346.2084999999997,40,6,Credit Card,0.9,1.971650125070181,"[0.9, np.float64(0.5738791623171935), 1.971650125070181, 93848.34, 40]"
17,34847.09,2903.924166666666,12,5,Credit Card,0.4000000000000001,0.9890803991391702,"[0.4000000000000001, np.float64(0.5738791623171935), 0.9890803991391702, 34847.09, 12]"
18,27554.91,2296.2425,12,5,Bank Transfer,1.0,4.0680025675065385,"[1.0, np.float64(0.5738791623171935), 4.0680025675065385, 27554.91, 12]"
19,108670.86,2650.508780487805,41,6,Credit Card,0.4000000000000001,1.3561271163782238,"[0.4000000000000001, np.float64(0.5738791623171935), 1.3561271163782238, 108670.86, 41]"
20,15174.84,3034.968,5,3,Debit Card,0.4,0.2772822948048026,"[0.4, np.float64(0.5738791623171935), 0.2772822948048026, 15174.84, 5]"
21,148107.78,2962.1556,50,6,Debit Card,0.4,1.68378412586232,"[0.4, np.float64(0.5738791623171935), 1.68378412586232, 148107.78, 50]"
22,59951.72,2141.132857142857,28,6,Debit Card,0.2,2.4696729158581174,"[0.2, np.float64(0.5738791623171935), 2.4696729158581174, 59951.72, 28]"
23,61610.51,2567.1045833333333,24,6,Debit Card,0.20000000000000004,0.4705205520447231,"[0.20000000000000004, np.float64(0.5738791623171935), 0.4705205520447231, 61610.51, 24]"
24,26294.5,2629.45,10,4,Bank Transfer,1.0,0.4735717921767988,"[1.0, np.float64(0.5738791623171935), 0.4735717921767988, 26294.5, 10]"
25,77275.75,2341.689393939394,33,6,Bank Transfer,0.2,0.45070257421528326,"[0.2, np.float64(0.5738791623171935), 0.45070257421528326, 77275.75, 33]"
26,62432.4,2601.35,24,6,Crypto,0.9,2.6603860605377143,"[0.9, np.float64(0.5738791623171935), 2.6603860605377143, 62432.4, 24]"
27,52127.11,2606.3555,20,6,Mobile Wallet,0.4,0.33777548198811314,"[0.4, np.float64(0.5738791623171935), 0.33777548198811314, 52127.11, 20]"
28,88008.03,2750.2509375,32,6,Crypto,1.0,2.018125377759938,"[1.0, np.float64(0.5738791623171935), 2.018125377759938, 88008.03, 32]"
29,64431.81,2301.1360714285715,28,5,Debit Card,0.2,1.0344666997765086,"[0.2, np.float64(0.5738791623171935), 1.0344666997765086, 64431.81, 28]"
30,75560.36,2698.5842857142857,28,6,Debit Card,0.2,0.8190159020258667,"[0.2, np.float64(0.5738791623171935), 0.8190159020258667, 75560.36, 28]"
31,81625.91,2400.7620588235295,34,6,Bank Transfer,1.0,0.8414553725659818,"[1.0, np.float64(0.5738791623171935), 0.8414553725659818, 81625.91, 34]"
32,96264.75,2187.8352272727275,44,6,Credit Card,0.4,1.3323752375980704,"[0.4, np.float64(0.5738791623171935), 1.3323752375980704, 96264.75, 44]"
33,57494.17,2299.7668,25,6,Credit Card,0.9,2.789191598250172,"[0.9, np.float64(0.5738791623171935), 2.789191598250172, 57494.17, 25]"
34,118911.06,2530.0225531914894,47,6,Bank Transfer,0.2,1.8784302918343934,"[0.2, np.float64(0.5738791623171935), 1.8784302918343934, 118911.06, 47]"
35,23497.89,1958.1575,12,6,Crypto,0.4000000000000001,2.2518677993980902,"[0.4000000000000001, np.float64(0.5738791623171935), 2.2518677993980902, 23497.89, 12]"
36,16122.59,1612.259,10,5,Crypto,0.9,2.104781626851148,"[0.9, np.float64(0.5738791623171935), 2.104781626851148, 16122.59, 10]"
37,75610.28,1989.7442105263158,38,6,Credit Card,0.4,1.852928702010161,"[0.4, np.float64(0.5738791623171935), 1.852928702010161, 75610.28, 38]"
38,41232.26,2748.8173333333334,15,6,Debit Card,0.2,0.46717573044261596,"[0.2, np.float64(0.5738791623171935), 0.46717573044261596, 41232.26, 15]"
39,95296.73,2507.8086842105263,38,6,Bank Transfer,1.0,1.1299506971825384,"[1.0, np.float64(0.5738791623171935), 1.1299506971825384, 95296.73, 38]"
40,25852.82,2872.5355555555557,9,5,Mobile Wallet,0.4,0.296961679815154,"[0.4, np.float64(0.5738791623171935), 0.296961679815154, 25852.82, 9]"
41,53554.82,2434.31,22,6,Bank Transfer,0.4,1.7389749293041599,"[0.4, np.float64(0.5738791623171935), 1.7389749293041599, 53554.82, 22]"
42,19010.82,2715.8314285714287,7,4,Credit Card,0.2,0.16310265840839436,"[0.2, np.float64(0.5738791623171935), 0.16310265840839436, 19010.82, 7]"
43,109493.35,2329.6457446808513,47,6,Bank Transfer,0.4,0.9670803950098577,"[0.4, np.float64(0.5738791623171935), 0.9670803950098577, 109493.35, 47]"
44,100194.55,2707.960810810811,37,6,Mobile Wallet,0.2,0.9344170763573221,"[0.2, np.float64(0.5738791623171935), 0.9344170763573221, 100194.55, 37]"
45,18584.12,2654.8742857142856,7,5,Debit Card,0.4,0.8053325959904288,"[0.4, np.float64(0.5738791623171935), 0.8053325959904288, 18584.12, 7]"
46,96308.04,2534.422105263158,38,6,Credit Card,0.9,1.3475285426549906,"[0.9, np.float64(0.5738791623171935), 1.3475285426549906, 96308.04, 38]"
47,14834.630000000001,2966.9260000000004,5,4,Credit Card,0.6,3.1324050786318947,"[0.6, np.float64(0.5738791623171935), 3.1324050786318947, 14834.630000000001, 5]"
48,54995.909999999996,2391.12652173913,23,5,Credit Card,0.2,1.2704159788407443,"[0.2, np.float64(0.5738791623171935), 1.2704159788407443, 54995.909999999996, 23]"
49,24997.54,2499.754,10,5,Bank Transfer,0.4,2.115795816395992,"[0.4, np.float64(0.5738791623171935), 2.115795816395992, 24997.54, 10]"
50,54169.57,2708.4785,20,6,Bank Transfer,0.4,0.4582346886827655,"[0.4, np.float64(0.5738791623171935), 0.4582346886827655, 54169.57, 20]"
51,109452.25,2606.0059523809523,42,6,Crypto,0.4,0.7860977389029077,"[0.4, np.float64(0.5738791623171935), 0.7860977389029077, 109452.25, 42]"
52,11756.69,1959.4483333333335,6,5,Bank Transfer,0.9,1.8905266833469399,"[0.9, np.float64(0.5738791623171935), 1.8905266833469399, 11756.69, 6]"
